priority,issue_type,suggested_action,tag_example,row,country,store,status,note,google_name,google_link,detail
中,Google门店名过泛,确认链接真实后，在 E 列补成人工可识别名称，如 Cotti Coffee - 商场/街道,,2,加拿大,3175 Rutherford Rd,已查询,,Cotti Coffee,"https://www.google.com/maps/place/Cotti+Coffee/@43.8280793,-79.5371401,17z/data=!3m1!4b1!4m6!3m5!1s0x882b2f85937f3a1d:0x762576c7c5640c1b!8m2!3d43.8280793!4d-79.5371401!16s%2Fg%2F11z3w8gdb1?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",名称只有品牌词，无法辅助判断是否同店
中,Google门店名过泛,确认链接真实后，在 E 列补成人工可识别名称，如 Cotti Coffee - 商场/街道,,3,加拿大,374 Yonge st,已查询,,COTTI COFFEE,"https://www.google.com/maps/place/COTTI+COFFEE/@43.6588244,-79.3821355,17z/data=!3m1!4b1!4m6!3m5!1s0x882b3561a1bf4c89:0xde0a2caed996c678!8m2!3d43.6588244!4d-79.3821355!16s%2Fg%2F11v6stqb51?entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D",名称只有品牌词，无法辅助判断是否同店
中,Google门店名过泛,确认链接真实后，在 E 列补成人工可识别名称，如 Cotti Coffee - 商场/街道,,5,加拿大,70 Valleywood Dr,已查询,,Cotti Coffee,"https://www.google.com/maps/place/Cotti+Coffee/@43.8549666,-79.3657325,17z/data=!3m1!4b1!4m6!3m5!1s0x89d4d5734047a1b5:0x49a461fd63afbdde!8m2!3d43.8549666!4d-79.3657325!16s%2Fg%2F11z1_64yc4?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",名称只有品牌词，无法辅助判断是否同店
中,Google门店名过泛,确认链接真实后，在 E 列补成人工可识别名称，如 Cotti Coffee - 商场/街道,,6,加拿大,9125 Airport Rd,已查询,,Cotti Coffee,"https://www.google.com/maps/place/Cotti+Coffee/@43.7464955,-79.6977111,17z/data=!3m1!4b1!4m6!3m5!1s0x882b3d4dc34a68b3:0xbe9d44616e89fbf8!8m2!3d43.7464955!4d-79.6977111!16s%2Fg%2F11ys20xnsv?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",名称只有品牌词，无法辅助判断是否同店
中,Google门店名过泛,确认链接真实后，在 E 列补成人工可识别名称，如 Cotti Coffee - 商场/街道,,7,加拿大,Bay & Gerrard,已查询,,Cotti Coffee,"https://www.google.com/maps/place/Cotti+Coffee/@43.6581592,-79.4680881,12z/data=!3m1!5s0x882b34cb16c0c26d:0x3b0f69d20016df18!4m10!1m2!2m1!1sCotti+Coffee+Bay+%26+Gerrard+Canada!3m6!1s0x882b3532ebcac409:0x4efb0687cdfc0b40!8m2!3d43.6581592!4d-79.3856906!15sCiFDb3R0aSBDb2ZmZWUgQmF5ICYgR2VycmFyZCBDYW5hZGFaIyIhY290dGkgY29mZmVlIGJheSAmIGdlcnJhcmQgY2FuYWRhkgELY29mZmVlX3Nob3CaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhzYjJGRVZsSlBSR1JQVjFWR2IwNUZZekJZTVU1S1lrTXdNMUpWUlJBQuABAPoBBQiHBBAj!16s%2Fg%2F11l1ykmqcb?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",名称只有品牌词，无法辅助判断是否同店
中,Google门店名过泛,确认链接真实后，在 E 列补成人工可识别名称，如 Cotti Coffee - 商场/街道,,8,加拿大,Cherryhill Village Mall,已查询,,Cotti Coffee,"https://www.google.com/maps/place/Cotti+Coffee/@42.9902397,-81.2777359,17z/data=!3m1!4b1!4m6!3m5!1s0x882ef1004c5e1a7b:0x867846002a1e186!8m2!3d42.9902358!4d-81.275161!16s%2Fg%2F11n3kph43m?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",名称只有品牌词，无法辅助判断是否同店
中,Google门店名过泛,确认链接真实后，在 E 列补成人工可识别名称，如 Cotti Coffee - 商场/街道,,9,加拿大,Dufferin Mall,已查询,,Cotti Coffee,"https://www.google.com/maps/place/Cotti+Coffee/@43.6562281,-79.4381522,17z/data=!3m1!4b1!4m6!3m5!1s0x882b35f62a0f9873:0xe89f91859bc17325!8m2!3d43.6562242!4d-79.4355773!16s%2Fg%2F11z2357njj?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",名称只有品牌词，无法辅助判断是否同店
中,Google门店名过泛,确认链接真实后，在 E 列补成人工可识别名称，如 Cotti Coffee - 商场/街道,,10,加拿大,Fairview Mall,已查询,搜索结果第一条命中，建议抽查,COTTI COFFEE,https://www.google.com/maps/search/Cotti+Coffee+Fairview+Mall+Canada,名称只有品牌词，无法辅助判断是否同店
低,搜索链接,低优先级：有空再把 search 链接换成真实 /maps/place/ 链接,,10,加拿大,Fairview Mall,已查询,搜索结果第一条命中，建议抽查,COTTI COFFEE,https://www.google.com/maps/search/Cotti+Coffee+Fairview+Mall+Canada,建议人工确认真实 place 链接
中,Google门店名过泛,确认链接真实后，在 E 列补成人工可识别名称，如 Cotti Coffee - 商场/街道,,11,加拿大,Golden Square,已查询,,Cotti Coffee,"https://www.google.com/maps/place/Cotti+Coffee/@43.567757,-79.6641189,17z/data=!3m2!4b1!5s0x882b414885908471:0x47d4351feb8915d2!4m6!3m5!1s0x882b41389f9f0311:0xa55ea54bdc624d39!8m2!3d43.567757!4d-79.661544!16s%2Fg%2F11m6h61nl6?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",名称只有品牌词，无法辅助判断是否同店
